Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
M,44.0,3499332,080,16/01/2024,18:41:07,338,16/01/2024,18:55:47
M,47.0,7308166,161,07/02/2024,19:21:41,065,07/02/2024,19:53:10
M,27.0,3718053,041,19/01/2024,07:26:39,007,19/01/2024,07:37:56
O,23.0,4526042,026,07/04/2024,18:10:51,052,07/04/2024,18:20:01
M,42.0,6827554,646,01/03/2024,20:08:35,656,01/03/2024,20:21:15
M,49.0,7009533,003,27/02/2024,17:31:28,096,27/02/2024,17:39:21
M,34.0,8443871,541,21/03/2024,11:46:05,303,21/03/2024,12:34:43
M,31.0,2952018,032,27/01/2024,11:03:51,142,27/01/2024,11:12:23
F,24.0,2565455,387,22/04/2024,10:06:27,291,22/04/2024,10:18:24
M,31.0,7170590,127,31/03/2024,23:23:52,123,31/03/2024,23:26:12
M,28.0,6850275,553,23/03/2024,22:17:16,086,23/03/2024,22:23:34
M,32.0,7076094,172,03/03/2024,09:55:46,186,03/03/2024,10:05:27
M,30.0,5982509,027,14/02/2024,19:18:35,271-272,14/02/2024,19:30:23
F,30.0,5491709,355,11/01/2024,10:24:21,059,11/01/2024,10:47:50
M,25.0,2703874,069,18/01/2024,10:47:16,447,18/01/2024,10:52:24
F,36.0,8148181,053,24/02/2024,12:16:59,066,24/02/2024,12:21:47
M,24.0,2764694,018,21/03/2024,23:33:20,041,21/03/2024,23:39:55
M,29.0,4201356,481,21/04/2024,10:32:06,505,21/04/2024,10:36:22
M,26.0,6209225,031,01/03/2024,20:09:14,112,01/03/2024,20:18:10
M,20.0,7259690,112,03/01/2024,09:57:31,115,03/01/2024,10:06:21
M,42.0,2432532,136,22/01/2024,11:24:29,047,22/01/2024,11:36:57
M,26.0,8606485,478,29/02/2024,07:04:23,253,29/02/2024,07:16:44
F,40.0,6238679,166,06/04/2024,15:30:25,172,06/04/2024,15:33:17
M,42.0,7111388,207,15/04/2024,14:44:15,539,15/04/2024,15:22:33
M,26.0,3583705,372,16/02/2024,21:37:44,628,16/02/2024,21:44:52
M,44.0,4984571,316,12/04/2024,10:01:32,565,12/04/2024,10:23:10
M,47.0,8678476,055,25/04/2024,14:52:04,586,25/04/2024,15:07:12
F,31.0,4258406,070,05/04/2024,22:11:11,036,05/04/2024,22:20:03
M,31.0,3579760,395,09/04/2024,13:42:26,439,09/04/2024,13:49:17
F,30.0,2056596,144,09/03/2024,14:22:56,132,09/03/2024,14:31:40
M,24.0,2517449,302,16/04/2024,17:56:29,180,16/04/2024,18:05:10
F,31.0,5227871,042,10/02/2024,13:32:24,114,10/02/2024,14:03:06
M,26.0,8013849,133,31/01/2024,21:03:25,605,31/01/2024,21:27:41
